Cancer,Articles,Country
Thyroid cancer,0,Lesotho
Undetermined cancer,0,Lesotho
Uterine cancer,0,Lesotho
Vaginal cancer,0,Lesotho
Vulvar cancer,0,Lesotho
Anal cancer,0,Mozambique
Bladder cancer,0,Mozambique
Brain cancer,0,Mozambique
Breast cancer,0,Mozambique
Cervical cancer,0,Mozambique
Colon cancer,0,Mozambique
Colorectal cancer,0,Mozambique
Esophageal cancer,0,Mozambique
Gallbladder cancer,0,Mozambique
Hodgkin lymphoma,0,Mozambique
Kaposi sarcoma,0,Mozambique
Kidney cancer,0,Mozambique
Laryngeal cancer,0,Mozambique
Leukemia,0,Mozambique
Liver cancer,0,Mozambique
Lung cancer,0,Mozambique
Mesothelioma,0,Mozambique
Mouth cancer,0,Mozambique
Multiple myeloma,0,Mozambique
Non-Hodgkin lymphoma,0,Mozambique
Other cancer,0,Mozambique
Ovarian cancer,0,Mozambique
Pancreatic cancer,0,Mozambique
Penile cancer,0,Mozambique
Prostate cancer,0,Mozambique
Rectal cancer,0,Mozambique
Salivary gland cancer,0,Mozambique
Skin cancer,0,Mozambique
Stomach cancer,0,Mozambique
Testicular cancer,0,Mozambique
Throat cancer,0,Mozambique
Thyroid cancer,0,Mozambique
Undetermined cancer,0,Mozambique
Uterine cancer,0,Mozambique
Vaginal cancer,0,Mozambique
Vulvar cancer,0,Mozambique
Anal cancer,0,Hungary
Bladder cancer,3,Hungary
Brain cancer,9,Hungary
Breast cancer,43,Hungary
Cervical cancer,7,Hungary
Colon cancer,0,Hungary
Colorectal cancer,6,Hungary
Esophageal cancer,2,Hungary
Gallbladder cancer,0,Hungary
Hodgkin lymphoma,1,Hungary
Kaposi sarcoma,0,Hungary
Kidney cancer,1,Hungary
Laryngeal cancer,1,Hungary
Leukemia,9,Hungary
Liver cancer,2,Hungary
Lung cancer,2,Hungary
Mesothelioma,0,Hungary
Mouth cancer,0,Hungary
Multiple myeloma,2,Hungary
Non-Hodgkin lymphoma,3,Hungary
Other cancer,0,Hungary
Ovarian cancer,6,Hungary
Pancreatic cancer,4,Hungary
Penile cancer,0,Hungary
Prostate cancer,9,Hungary
Rectal cancer,1,Hungary
Salivary gland cancer,0,Hungary
Skin cancer,4,Hungary
Stomach cancer,1,Hungary
Testicular cancer,4,Hungary
Throat cancer,0,Hungary
Thyroid cancer,2,Hungary
Undetermined cancer,0,Hungary
Uterine cancer,0,Hungary
Vaginal cancer,0,Hungary
Vulvar cancer,0,Hungary
Anal cancer,0,Indonesia
Bladder cancer,1,Indonesia
Brain cancer,0,Indonesia
Breast cancer,7,Indonesia
Cervical cancer,5,Indonesia
Colon cancer,0,Indonesia
Colorectal cancer,4,Indonesia
Esophageal cancer,0,Indonesia
Gallbladder cancer,0,Indonesia
Hodgkin lymphoma,0,Indonesia
Kaposi sarcoma,0,Indonesia
Kidney cancer,0,Indonesia
Laryngeal cancer,0,Indonesia
Leukemia,4,Indonesia
Liver cancer,0,Indonesia
Lung cancer,0,Indonesia
Mesothelioma,0,Indonesia
Mouth cancer,0,Indonesia
Multiple myeloma,0,Indonesia
Non-Hodgkin lymphoma,0,Indonesia
Other cancer,0,Indonesia
Ovarian cancer,0,Indonesia
Pancreatic cancer,0,Indonesia
Penile cancer,0,Indonesia
Prostate cancer,0,Indonesia
Rectal cancer,0,Indonesia
Salivary gland cancer,0,Indonesia
Skin cancer,0,Indonesia
Stomach cancer,0,Indonesia
Testicular cancer,0,Indonesia
Throat cancer,0,Indonesia
Thyroid cancer,1,Indonesia
Undetermined cancer,0,Indonesia
Uterine cancer,0,Indonesia
Vaginal cancer,0,Indonesia
Vulvar cancer,0,Indonesia
Anal cancer,0,Pakistan
Bladder cancer,2,Pakistan
Brain cancer,0,Pakistan
Breast cancer,14,Pakistan
Cervical cancer,0,Pakistan
Colon cancer,1,Pakistan
Colorectal cancer,2,Pakistan
Esophageal cancer,0,Pakistan
Gallbladder cancer,2,Pakistan
Hodgkin lymphoma,0,Pakistan
Kaposi sarcoma,0,Pakistan
Kidney cancer,2,Pakistan
Laryngeal cancer,0,Pakistan
Leukemia,7,Pakistan
Liver cancer,6,Pakistan
Lung cancer,6,Pakistan
Mesothelioma,0,Pakistan
Mouth cancer,0,Pakistan
Multiple myeloma,1,Pakistan
Non-Hodgkin lymphoma,0,Pakistan
Other cancer,0,Pakistan
Ovarian cancer,1,Pakistan
Pancreatic cancer,0,Pakistan
Penile cancer,0,Pakistan
Prostate cancer,2,Pakistan
Rectal cancer,2,Pakistan
Salivary gland cancer,0,Pakistan
Skin cancer,0,Pakistan
Stomach cancer,0,Pakistan
Testicular cancer,0,Pakistan
Throat cancer,0,Pakistan
Thyroid cancer,1,Pakistan
Undetermined cancer,0,Pakistan
Uterine cancer,0,Pakistan
Vaginal cancer,0,Pakistan
Vulvar cancer,0,Pakistan
Anal cancer,1,Myanmar
Bladder cancer,1,Myanmar
Brain cancer,0,Myanmar
Breast cancer,0,Myanmar
Cervical cancer,1,Myanmar
Colon cancer,0,Myanmar
Colorectal cancer,3,Myanmar
Esophageal cancer,0,Myanmar
Gallbladder cancer,0,Myanmar
Hodgkin lymphoma,0,Myanmar
Kaposi sarcoma,0,Myanmar
Kidney cancer,1,Myanmar
Laryngeal cancer,0,Myanmar
Leukemia,1,Myanmar
Liver cancer,0,Myanmar
Lung cancer,0,Myanmar
Mesothelioma,0,Myanmar
Mouth cancer,0,Myanmar
Multiple myeloma,0,Myanmar
Non-Hodgkin lymphoma,0,Myanmar
Other cancer,0,Myanmar
Ovarian cancer,0,Myanmar
Pancreatic cancer,0,Myanmar
Penile cancer,0,Myanmar
Prostate cancer,1,Myanmar
Rectal cancer,0,Myanmar
Salivary gland cancer,0,Myanmar
Skin cancer,0,Myanmar
Stomach cancer,0,Myanmar
Testicular cancer,1,Myanmar
Throat cancer,0,Myanmar
Thyroid cancer,0,Myanmar
Undetermined cancer,0,Myanmar
Uterine cancer,0,Myanmar
Vaginal cancer,0,Myanmar
Vulvar cancer,0,Myanmar
Anal cancer,0,DR Congo
Bladder cancer,0,DR Congo
Brain cancer,0,DR Congo
Breast cancer,1,DR Congo
Cervical cancer,1,DR Congo
Colon cancer,0,DR Congo
Colorectal cancer,0,DR Congo
Esophageal cancer,0,DR Congo
Gallbladder cancer,0,DR Congo
Hodgkin lymphoma,0,DR Congo
Kaposi sarcoma,0,DR Congo
Kidney cancer,0,DR Congo
Laryngeal cancer,0,DR Congo
Leukemia,0,DR Congo
Liver cancer,0,DR Congo
Lung cancer,0,DR Congo
Mesothelioma,0,DR Congo
Mouth cancer,0,DR Congo
Multiple myeloma,0,DR Congo
Non-Hodgkin lymphoma,0,DR Congo
Other cancer,0,DR Congo
Ovarian cancer,0,DR Congo
Pancreatic cancer,0,DR Congo
Penile cancer,0,DR Congo
Prostate cancer,0,DR Congo
Rectal cancer,0,DR Congo
Salivary gland cancer,0,DR Congo
Skin cancer,0,DR Congo
Stomach cancer,0,DR Congo
Testicular cancer,0,DR Congo
Throat cancer,0,DR Congo
Thyroid cancer,0,DR Congo
Undetermined cancer,0,DR Congo
Uterine cancer,0,DR Congo
Vaginal cancer,0,DR Congo
Vulvar cancer,0,DR Congo
Anal cancer,0,Russia
Bladder cancer,2,Russia
Brain cancer,6,Russia
Breast cancer,45,Russia
Cervical cancer,5,Russia
Colon cancer,4,Russia
Colorectal cancer,8,Russia
Esophageal cancer,5,Russia
Gallbladder cancer,0,Russia
Hodgkin lymphoma,5,Russia
Kaposi sarcoma,0,Russia
Kidney cancer,10,Russia
Laryngeal cancer,0,Russia
Leukemia,23,Russia
Liver cancer,1,Russia
Lung cancer,1,Russia
Mesothelioma,2,Russia
Mouth cancer,1,Russia
Multiple myeloma,5,Russia
Non-Hodgkin lymphoma,10,Russia
Other cancer,0,Russia
Ovarian cancer,2,Russia
Pancreatic cancer,0,Russia
Penile cancer,0,Russia
Prostate cancer,7,Russia
Rectal cancer,8,Russia
Salivary gland cancer,0,Russia
Skin cancer,14,Russia
Stomach cancer,5,Russia
Testicular cancer,1,Russia
Throat cancer,0,Russia
Thyroid cancer,1,Russia
Undetermined cancer,0,Russia
Uterine cancer,3,Russia
Vaginal cancer,0,Russia
Vulvar cancer,0,Russia
Anal cancer,0,Serbia
Bladder cancer,1,Serbia
Brain cancer,13,Serbia
Breast cancer,20,Serbia
Cervical cancer,5,Serbia
Colon cancer,2,Serbia
Colorectal cancer,11,Serbia
Esophageal cancer,0,Serbia
Gallbladder cancer,0,Serbia
Hodgkin lymphoma,0,Serbia
Kaposi sarcoma,0,Serbia
Kidney cancer,2,Serbia
Laryngeal cancer,0,Serbia
Leukemia,9,Serbia
Liver cancer,1,Serbia
Lung cancer,1,Serbia
Mesothelioma,0,Serbia
Mouth cancer,0,Serbia
Multiple myeloma,0,Serbia
Non-Hodgkin lymphoma,1,Serbia
Other cancer,0,Serbia
Ovarian cancer,2,Serbia
Pancreatic cancer,1,Serbia
Penile cancer,0,Serbia
Prostate cancer,2,Serbia
Rectal cancer,1,Serbia
Salivary gland cancer,0,Serbia
Skin cancer,6,Serbia
Stomach cancer,0,Serbia
Testicular cancer,0,Serbia
Throat cancer,0,Serbia
Thyroid cancer,2,Serbia
Undetermined cancer,0,Serbia
Uterine cancer,0,Serbia
Vaginal cancer,0,Serbia
Vulvar cancer,0,Serbia
Anal cancer,0,Lebanon
Bladder cancer,0,Lebanon
Brain cancer,1,Lebanon
Breast cancer,24,Lebanon
Cervical cancer,2,Lebanon
Colon cancer,1,Lebanon
Colorectal cancer,6,Lebanon
Esophageal cancer,0,Lebanon
Gallbladder cancer,0,Lebanon
Hodgkin lymphoma,0,Lebanon
Kaposi sarcoma,0,Lebanon
Kidney cancer,0,Lebanon
Laryngeal cancer,0,Lebanon
Leukemia,7,Lebanon
Liver cancer,0,Lebanon
Lung cancer,0,Lebanon
Mesothelioma,0,Lebanon
Mouth cancer,0,Lebanon
Multiple myeloma,2,Lebanon
Non-Hodgkin lymphoma,0,Lebanon
Other cancer,0,Lebanon
Ovarian cancer,0,Lebanon
Pancreatic cancer,4,Lebanon
Penile cancer,0,Lebanon
Prostate cancer,2,Lebanon
Rectal cancer,3,Lebanon
Salivary gland cancer,0,Lebanon
Skin cancer,3,Lebanon
Stomach cancer,0,Lebanon
Testicular cancer,1,Lebanon
Throat cancer,0,Lebanon
Thyroid cancer,0,Lebanon
Undetermined cancer,0,Lebanon
Uterine cancer,1,Lebanon
Vaginal cancer,0,Lebanon
Vulvar cancer,0,Lebanon
Anal cancer,1,Cuba
Bladder cancer,0,Cuba
Brain cancer,5,Cuba
Breast cancer,4,Cuba
Cervical cancer,3,Cuba
Colon cancer,0,Cuba
Colorectal cancer,2,Cuba
Esophageal cancer,1,Cuba
Gallbladder cancer,0,Cuba
Hodgkin lymphoma,0,Cuba
Kaposi sarcoma,0,Cuba
Kidney cancer,0,Cuba
Laryngeal cancer,0,Cuba
Leukemia,4,Cuba
Liver cancer,0,Cuba
Lung cancer,0,Cuba
Mesothelioma,0,Cuba
Mouth cancer,0,Cuba
Multiple myeloma,0,Cuba
Non-Hodgkin lymphoma,0,Cuba
Other cancer,0,Cuba
Ovarian cancer,1,Cuba
Pancreatic cancer,0,Cuba
Penile cancer,0,Cuba
Prostate cancer,1,Cuba
Rectal cancer,0,Cuba
Salivary gland cancer,0,Cuba
Skin cancer,4,Cuba
Stomach cancer,0,Cuba
Testicular cancer,0,Cuba
Throat cancer,0,Cuba
Thyroid cancer,0,Cuba
Undetermined cancer,0,Cuba
Uterine cancer,0,Cuba
Vaginal cancer,0,Cuba
Vulvar cancer,0,Cuba
Anal cancer,0,Peru
Bladder cancer,0,Peru
Brain cancer,0,Peru
Breast cancer,5,Peru
Cervical cancer,2,Peru
Colon cancer,0,Peru
Colorectal cancer,1,Peru
Esophageal cancer,0,Peru
Gallbladder cancer,0,Peru
Hodgkin lymphoma,0,Peru
Kaposi sarcoma,0,Peru
Kidney cancer,0,Peru
Laryngeal cancer,0,Peru
Leukemia,0,Peru
Liver cancer,0,Peru
Lung cancer,0,Peru
Mesothelioma,0,Peru
Mouth cancer,0,Peru
Multiple myeloma,0,Peru
Non-Hodgkin lymphoma,0,Peru
Other cancer,0,Peru
Ovarian cancer,2,Peru
Pancreatic cancer,0,Peru
Penile cancer,0,Peru
Prostate cancer,1,Peru
Rectal cancer,0,Peru
Salivary gland cancer,0,Peru
Skin cancer,2,Peru
Stomach cancer,0,Peru
Testicular cancer,0,Peru
Throat cancer,0,Peru
Thyroid cancer,0,Peru
Undetermined cancer,0,Peru
Uterine cancer,0,Peru
Vaginal cancer,0,Peru
Vulvar cancer,0,Peru
Anal cancer,0,Central African Republic
Bladder cancer,0,Central African Republic
Brain cancer,0,Central African Republic
Breast cancer,0,Central African Republic
Cervical cancer,0,Central African Republic
Colon cancer,0,Central African Republic
Colorectal cancer,0,Central African Republic
Esophageal cancer,0,Central African Republic
Gallbladder cancer,0,Central African Republic
Hodgkin lymphoma,0,Central African Republic
Kaposi sarcoma,0,Central African Republic
Kidney cancer,0,Central African Republic
Laryngeal cancer,0,Central African Republic
Leukemia,0,Central African Republic
Liver cancer,0,Central African Republic
Lung cancer,0,Central African Republic
Mesothelioma,0,Central African Republic
Mouth cancer,0,Central African Republic
Multiple myeloma,0,Central African Republic
Non-Hodgkin lymphoma,0,Central African Republic
Other cancer,0,Central African Republic
Ovarian cancer,0,Central African Republic
Pancreatic cancer,0,Central African Republic
Penile cancer,0,Central African Republic
Prostate cancer,0,Central African Republic
Rectal cancer,0,Central African Republic
Salivary gland cancer,0,Central African Republic
Skin cancer,0,Central African Republic
Stomach cancer,0,Central African Republic
Testicular cancer,0,Central African Republic
Throat cancer,0,Central African Republic
Thyroid cancer,0,Central African Republic
Undetermined cancer,0,Central African Republic
Uterine cancer,0,Central African Republic
Vaginal cancer,0,Central African Republic
Vulvar cancer,0,Central African Republic
Anal cancer,0,Cabo Verde
Bladder cancer,0,Cabo Verde
Brain cancer,0,Cabo Verde
Breast cancer,0,Cabo Verde
Cervical cancer,0,Cabo Verde
Colon cancer,0,Cabo Verde
Colorectal cancer,0,Cabo Verde
Esophageal cancer,0,Cabo Verde
Gallbladder cancer,0,Cabo Verde
Hodgkin lymphoma,0,Cabo Verde
Kaposi sarcoma,0,Cabo Verde
Kidney cancer,0,Cabo Verde
Laryngeal cancer,0,Cabo Verde
Leukemia,0,Cabo Verde
Liver cancer,0,Cabo Verde
Lung cancer,0,Cabo Verde
Mesothelioma,0,Cabo Verde
Mouth cancer,0,Cabo Verde
Multiple myeloma,0,Cabo Verde
Non-Hodgkin lymphoma,0,Cabo Verde
Other cancer,0,Cabo Verde
Ovarian cancer,0,Cabo Verde
Pancreatic cancer,0,Cabo Verde
Penile cancer,0,Cabo Verde
Prostate cancer,0,Cabo Verde
Rectal cancer,0,Cabo Verde
Salivary gland cancer,0,Cabo Verde
Skin cancer,0,Cabo Verde
Stomach cancer,0,Cabo Verde
Testicular cancer,0,Cabo Verde
Throat cancer,0,Cabo Verde
Thyroid cancer,0,Cabo Verde
Undetermined cancer,0,Cabo Verde
Uterine cancer,0,Cabo Verde
Vaginal cancer,0,Cabo Verde
Vulvar cancer,0,Cabo Verde
Anal cancer,0,Kenya
Bladder cancer,0,Kenya
Brain cancer,0,Kenya
Breast cancer,1,Kenya
Cervical cancer,3,Kenya
Colon cancer,0,Kenya
Colorectal cancer,0,Kenya
Esophageal cancer,1,Kenya
Gallbladder cancer,0,Kenya
Hodgkin lymphoma,0,Kenya
Kaposi sarcoma,1,Kenya
Kidney cancer,0,Kenya
Laryngeal cancer,0,Kenya
Leukemia,0,Kenya
Liver cancer,0,Kenya
Lung cancer,0,Kenya
Mesothelioma,0,Kenya
Mouth cancer,0,Kenya
Multiple myeloma,0,Kenya
Non-Hodgkin lymphoma,0,Kenya
Other cancer,0,Kenya
Ovarian cancer,0,Kenya
Pancreatic cancer,0,Kenya
Penile cancer,0,Kenya
Prostate cancer,0,Kenya
Rectal cancer,0,Kenya
Salivary gland cancer,0,Kenya
Skin cancer,0,Kenya
Stomach cancer,0,Kenya
Testicular cancer,0,Kenya
Throat cancer,0,Kenya
Thyroid cancer,0,Kenya
Undetermined cancer,0,Kenya
Uterine cancer,0,Kenya
Vaginal cancer,0,Kenya
Vulvar cancer,0,Kenya
Anal cancer,0,Uganda
Bladder cancer,0,Uganda
Brain cancer,0,Uganda
Breast cancer,1,Uganda
Cervical cancer,6,Uganda
Colon cancer,0,Uganda
Colorectal cancer,0,Uganda
Esophageal cancer,0,Uganda
Gallbladder cancer,0,Uganda
Hodgkin lymphoma,0,Uganda
Kaposi sarcoma,0,Uganda
Kidney cancer,0,Uganda
Laryngeal cancer,0,Uganda
Leukemia,0,Uganda
Liver cancer,0,Uganda
Lung cancer,0,Uganda
Mesothelioma,0,Uganda
Mouth cancer,0,Uganda
Multiple myeloma,0,Uganda
Non-Hodgkin lymphoma,0,Uganda
Other cancer,0,Uganda
Ovarian cancer,0,Uganda
Pancreatic cancer,0,Uganda
Penile cancer,0,Uganda
Prostate cancer,0,Uganda
Rectal cancer,0,Uganda
Salivary gland cancer,0,Uganda
Skin cancer,0,Uganda
Stomach cancer,0,Uganda
Testicular cancer,0,Uganda
Throat cancer,0,Uganda
Thyroid cancer,0,Uganda
Undetermined cancer,0,Uganda
Uterine cancer,0,Uganda
Vaginal cancer,0,Uganda
Vulvar cancer,0,Uganda
Anal cancer,0,South Africa
Bladder cancer,2,South Africa
Brain cancer,0,South Africa
Breast cancer,37,South Africa
Cervical cancer,18,South Africa
Colon cancer,0,South Africa
Colorectal cancer,2,South Africa
Esophageal cancer,5,South Africa
Gallbladder cancer,0,South Africa
Hodgkin lymphoma,4,South Africa
Kaposi sarcoma,2,South Africa
Kidney cancer,2,South Africa
Laryngeal cancer,0,South Africa
Leukemia,14,South Africa
Liver cancer,7,South Africa
Lung cancer,7,South Africa
Mesothelioma,2,South Africa
Mouth cancer,0,South Africa
Multiple myeloma,3,South Africa
Non-Hodgkin lymphoma,3,South Africa
Other cancer,0,South Africa
Ovarian cancer,5,South Africa
Pancreatic cancer,0,South Africa
Penile cancer,0,South Africa
Prostate cancer,10,South Africa
Rectal cancer,0,South Africa
Salivary gland cancer,0,South Africa
Skin cancer,10,South Africa
Stomach cancer,0,South Africa
Testicular cancer,0,South Africa
Throat cancer,0,South Africa
Thyroid cancer,0,South Africa
Undetermined cancer,0,South Africa
Uterine cancer,0,South Africa
Vaginal cancer,0,South Africa
Vulvar cancer,0,South Africa
Anal cancer,0,Norway
Bladder cancer,3,Norway
Brain cancer,13,Norway
Breast cancer,133,Norway
Cervical cancer,19,Norway
Colon cancer,14,Norway
Colorectal cancer,106,Norway
Esophageal cancer,2,Norway
Gallbladder cancer,0,Norway
Hodgkin lymphoma,7,Norway
Kaposi sarcoma,0,Norway
Kidney cancer,8,Norway
Laryngeal cancer,1,Norway
Leukemia,26,Norway
Liver cancer,0,Norway
Lung cancer,0,Norway
Mesothelioma,4,Norway
Mouth cancer,0,Norway
Multiple myeloma,27,Norway
Non-Hodgkin lymphoma,13,Norway
Other cancer,0,Norway
Ovarian cancer,26,Norway
Pancreatic cancer,19,Norway
Penile cancer,0,Norway
Prostate cancer,55,Norway
Rectal cancer,24,Norway
Salivary gland cancer,0,Norway
Skin cancer,29,Norway
Stomach cancer,4,Norway
Testicular cancer,10,Norway
Throat cancer,0,Norway
Thyroid cancer,2,Norway
Undetermined cancer,0,Norway
Uterine cancer,5,Norway
Vaginal cancer,0,Norway
Vulvar cancer,1,Norway
Anal cancer,0,Botswana
Bladder cancer,0,Botswana
Brain cancer,0,Botswana
Breast cancer,0,Botswana
Cervical cancer,1,Botswana
Colon cancer,0,Botswana
Colorectal cancer,0,Botswana
Esophageal cancer,0,Botswana
Gallbladder cancer,0,Botswana
Hodgkin lymphoma,0,Botswana
Kaposi sarcoma,0,Botswana
Kidney cancer,0,Botswana
Laryngeal cancer,0,Botswana
Leukemia,0,Botswana
Liver cancer,0,Botswana
Lung cancer,0,Botswana
Mesothelioma,0,Botswana
Mouth cancer,0,Botswana
Multiple myeloma,0,Botswana
Non-Hodgkin lymphoma,0,Botswana
Other cancer,0,Botswana
Ovarian cancer,0,Botswana
Pancreatic cancer,0,Botswana
Penile cancer,0,Botswana
Prostate cancer,0,Botswana
Rectal cancer,0,Botswana
Salivary gland cancer,0,Botswana
Skin cancer,0,Botswana
Stomach cancer,0,Botswana
Testicular cancer,0,Botswana
Throat cancer,0,Botswana
Thyroid cancer,0,Botswana
Undetermined cancer,0,Botswana
Uterine cancer,0,Botswana
Vaginal cancer,0,Botswana
Vulvar cancer,0,Botswana
Anal cancer,0,North Korea
Bladder cancer,0,North Korea
Brain cancer,0,North Korea
Breast cancer,0,North Korea
Cervical cancer,0,North Korea
Colon cancer,0,North Korea
Colorectal cancer,0,North Korea
Esophageal cancer,0,North Korea
Gallbladder cancer,0,North Korea
Hodgkin lymphoma,0,North Korea
Kaposi sarcoma,0,North Korea
Kidney cancer,0,North Korea
Laryngeal cancer,0,North Korea
Leukemia,0,North Korea
Liver cancer,0,North Korea
Lung cancer,0,North Korea
Mesothelioma,0,North Korea
Mouth cancer,0,North Korea
Multiple myeloma,0,North Korea
Non-Hodgkin lymphoma,0,North Korea
Other cancer,0,North Korea
Ovarian cancer,0,North Korea
Pancreatic cancer,0,North Korea
Penile cancer,0,North Korea
Prostate cancer,0,North Korea
Rectal cancer,0,North Korea
Salivary gland cancer,0,North Korea
Skin cancer,0,North Korea
Stomach cancer,0,North Korea
Testicular cancer,0,North Korea
Throat cancer,0,North Korea
Thyroid cancer,0,North Korea
Undetermined cancer,0,North Korea
Uterine cancer,0,North Korea
Vaginal cancer,0,North Korea
Vulvar cancer,0,North Korea
Anal cancer,0,Martinique
Bladder cancer,0,Martinique
Brain cancer,0,Martinique
Breast cancer,0,Martinique
Cervical cancer,0,Martinique
Colon cancer,0,Martinique
Colorectal cancer,0,Martinique
Esophageal cancer,0,Martinique
Gallbladder cancer,0,Martinique
Hodgkin lymphoma,0,Martinique
Kaposi sarcoma,0,Martinique
Kidney cancer,0,Martinique
Laryngeal cancer,0,Martinique
Leukemia,0,Martinique
Liver cancer,0,Martinique
Lung cancer,0,Martinique
Mesothelioma,0,Martinique
Mouth cancer,0,Martinique
Multiple myeloma,0,Martinique
Non-Hodgkin lymphoma,0,Martinique
Other cancer,0,Martinique
Ovarian cancer,0,Martinique
Pancreatic cancer,0,Martinique
Penile cancer,0,Martinique
Prostate cancer,0,Martinique
Rectal cancer,0,Martinique
Salivary gland cancer,0,Martinique
Skin cancer,0,Martinique
Stomach cancer,0,Martinique
Testicular cancer,0,Martinique
Throat cancer,0,Martinique
Thyroid cancer,0,Martinique
Undetermined cancer,0,Martinique
Uterine cancer,0,Martinique
Vaginal cancer,0,Martinique
Vulvar cancer,0,Martinique
Anal cancer,0,Saudi Arabia
Bladder cancer,2,Saudi Arabia
Brain cancer,2,Saudi Arabia
Breast cancer,18,Saudi Arabia
Cervical cancer,1,Saudi Arabia
Colon cancer,1,Saudi Arabia
Colorectal cancer,8,Saudi Arabia
Esophageal cancer,1,Saudi Arabia
Gallbladder cancer,0,Saudi Arabia
Hodgkin lymphoma,5,Saudi Arabia
Kaposi sarcoma,0,Saudi Arabia
Kidney cancer,1,Saudi Arabia
Laryngeal cancer,0,Saudi Arabia
Leukemia,9,Saudi Arabia
Liver cancer,5,Saudi Arabia
Lung cancer,5,Saudi Arabia
Mesothelioma,1,Saudi Arabia
Mouth cancer,0,Saudi Arabia
Multiple myeloma,0,Saudi Arabia
Non-Hodgkin lymphoma,2,Saudi Arabia
Other cancer,0,Saudi Arabia
Ovarian cancer,1,Saudi Arabia
Pancreatic cancer,0,Saudi Arabia
Penile cancer,0,Saudi Arabia
Prostate cancer,2,Saudi Arabia
Rectal cancer,5,Saudi Arabia
Salivary gland cancer,0,Saudi Arabia
Skin cancer,0,Saudi Arabia
Stomach cancer,0,Saudi Arabia
Testicular cancer,0,Saudi Arabia
Throat cancer,0,Saudi Arabia
Thyroid cancer,4,Saudi Arabia
Undetermined cancer,0,Saudi Arabia
Uterine cancer,0,Saudi Arabia
Vaginal cancer,0,Saudi Arabia
Vulvar cancer,0,Saudi Arabia
Anal cancer,0,Bosnia and Herzegovina
Bladder cancer,0,Bosnia and Herzegovina
Brain cancer,0,Bosnia and Herzegovina
Breast cancer,4,Bosnia and Herzegovina
Cervical cancer,0,Bosnia and Herzegovina
Colon cancer,1,Bosnia and Herzegovina
Colorectal cancer,2,Bosnia and Herzegovina
Esophageal cancer,0,Bosnia and Herzegovina
Gallbladder cancer,0,Bosnia and Herzegovina
Hodgkin lymphoma,0,Bosnia and Herzegovina
Kaposi sarcoma,0,Bosnia and Herzegovina
Kidney cancer,0,Bosnia and Herzegovina
Laryngeal cancer,0,Bosnia and Herzegovina
Leukemia,0,Bosnia and Herzegovina
Liver cancer,0,Bosnia and Herzegovina
Lung cancer,0,Bosnia and Herzegovina
Mesothelioma,0,Bosnia and Herzegovina
Mouth cancer,0,Bosnia and Herzegovina
Multiple myeloma,0,Bosnia and Herzegovina
Non-Hodgkin lymphoma,0,Bosnia and Herzegovina
Other cancer,0,Bosnia and Herzegovina
Ovarian cancer,0,Bosnia and Herzegovina
Pancreatic cancer,0,Bosnia and Herzegovina
Penile cancer,0,Bosnia and Herzegovina
Prostate cancer,0,Bosnia and Herzegovina
Rectal cancer,0,Bosnia and Herzegovina
Salivary gland cancer,0,Bosnia and Herzegovina
Skin cancer,0,Bosnia and Herzegovina
Stomach cancer,0,Bosnia and Herzegovina
Testicular cancer,0,Bosnia and Herzegovina
Throat cancer,0,Bosnia and Herzegovina
Thyroid cancer,0,Bosnia and Herzegovina
Undetermined cancer,0,Bosnia and Herzegovina
Uterine cancer,0,Bosnia and Herzegovina
Vaginal cancer,0,Bosnia and Herzegovina
Vulvar cancer,0,Bosnia and Herzegovina
Anal cancer,0,Liberia
Bladder cancer,0,Liberia
Brain cancer,0,Liberia
Breast cancer,0,Liberia
Cervical cancer,0,Liberia
Colon cancer,0,Liberia
Colorectal cancer,0,Liberia
Esophageal cancer,0,Liberia
Gallbladder cancer,0,Liberia
Hodgkin lymphoma,0,Liberia
Kaposi sarcoma,0,Liberia
Kidney cancer,0,Liberia
Laryngeal cancer,0,Liberia
Leukemia,0,Liberia
Liver cancer,0,Liberia
Lung cancer,0,Liberia
Mesothelioma,0,Liberia
Mouth cancer,0,Liberia
Multiple myeloma,0,Liberia
Non-Hodgkin lymphoma,0,Liberia
Other cancer,0,Liberia
Ovarian cancer,0,Liberia
Pancreatic cancer,0,Liberia
Penile cancer,0,Liberia
Prostate cancer,0,Liberia
Rectal cancer,0,Liberia
Salivary gland cancer,0,Liberia
Skin cancer,0,Liberia
Stomach cancer,0,Liberia
Testicular cancer,0,Liberia
Throat cancer,0,Liberia
Thyroid cancer,0,Liberia
Undetermined cancer,0,Liberia
Uterine cancer,0,Liberia
Vaginal cancer,0,Liberia
Vulvar cancer,0,Liberia
Anal cancer,0,Ukraine
Bladder cancer,0,Ukraine
Brain cancer,0,Ukraine
Breast cancer,5,Ukraine
Cervical cancer,1,Ukraine
Colon cancer,0,Ukraine
Colorectal cancer,2,Ukraine
Esophageal cancer,0,Ukraine
Gallbladder cancer,0,Ukraine
Hodgkin lymphoma,0,Ukraine
Kaposi sarcoma,0,Ukraine
Kidney cancer,1,Ukraine
Laryngeal cancer,0,Ukraine
Leukemia,4,Ukraine
Liver cancer,1,Ukraine
Lung cancer,1,Ukraine
Mesothelioma,0,Ukraine
Mouth cancer,0,Ukraine
Multiple myeloma,0,Ukraine
Non-Hodgkin lymphoma,0,Ukraine
Other cancer,0,Ukraine
Ovarian cancer,0,Ukraine
