Year,Articles,Cancer
1994,19,Stomach cancer
1995,15,Stomach cancer
1996,11,Stomach cancer
1997,15,Stomach cancer
1998,11,Stomach cancer
1999,21,Stomach cancer
2000,15,Stomach cancer
2001,9,Stomach cancer
2002,10,Stomach cancer
2003,12,Stomach cancer
2004,16,Stomach cancer
2005,14,Stomach cancer
2006,18,Stomach cancer
2007,21,Stomach cancer
2008,11,Stomach cancer
2009,15,Stomach cancer
2010,5,Stomach cancer
2011,19,Stomach cancer
2012,18,Stomach cancer
2013,19,Stomach cancer
2014,26,Stomach cancer
2015,18,Stomach cancer
2016,21,Stomach cancer
2017,18,Stomach cancer
2018,25,Stomach cancer
2019,15,Stomach cancer
2020,15,Stomach cancer
2021,22,Stomach cancer
2022,15,Stomach cancer
2023,14,Stomach cancer
2024,13,Stomach cancer
2025,18,Stomach cancer
1984,3,Testicular cancer
1985,4,Testicular cancer
1986,4,Testicular cancer
1987,9,Testicular cancer
1988,8,Testicular cancer
1989,1,Testicular cancer
1990,10,Testicular cancer
1991,10,Testicular cancer
1992,8,Testicular cancer
1993,5,Testicular cancer
1994,11,Testicular cancer
1995,8,Testicular cancer
1996,10,Testicular cancer
1997,7,Testicular cancer
1998,6,Testicular cancer
1999,8,Testicular cancer
2000,5,Testicular cancer
2001,1,Testicular cancer
2002,4,Testicular cancer
2003,4,Testicular cancer
2004,5,Testicular cancer
2005,3,Testicular cancer
2006,8,Testicular cancer
2007,5,Testicular cancer
2008,2,Testicular cancer
2009,3,Testicular cancer
2010,2,Testicular cancer
2011,5,Testicular cancer
2012,2,Testicular cancer
2013,3,Testicular cancer
2014,6,Testicular cancer
2015,4,Testicular cancer
2016,5,Testicular cancer
2017,6,Testicular cancer
2018,4,Testicular cancer
2019,6,Testicular cancer
2020,2,Testicular cancer
2021,7,Testicular cancer
2022,5,Testicular cancer
2023,6,Testicular cancer
2024,4,Testicular cancer
2025,6,Testicular cancer
2007,1,Throat cancer
2011,1,Throat cancer
2022,1,Throat cancer
2023,1,Throat cancer
1984,1,Thyroid cancer
1985,1,Thyroid cancer
1987,1,Thyroid cancer
1988,2,Thyroid cancer
1989,1,Thyroid cancer
1990,2,Thyroid cancer
1991,3,Thyroid cancer
1992,1,Thyroid cancer
1993,1,Thyroid cancer
1994,14,Thyroid cancer
1995,5,Thyroid cancer
1996,5,Thyroid cancer
1997,15,Thyroid cancer
1998,9,Thyroid cancer
1999,20,Thyroid cancer
2000,18,Thyroid cancer
2001,14,Thyroid cancer
2002,13,Thyroid cancer
2003,13,Thyroid cancer
2004,35,Thyroid cancer
2005,19,Thyroid cancer
2006,27,Thyroid cancer
2007,32,Thyroid cancer
2008,21,Thyroid cancer
2009,24,Thyroid cancer
2010,29,Thyroid cancer
2011,29,Thyroid cancer
2012,33,Thyroid cancer
2013,36,Thyroid cancer
2014,42,Thyroid cancer
2015,47,Thyroid cancer
2016,38,Thyroid cancer
2017,33,Thyroid cancer
2018,33,Thyroid cancer
2019,33,Thyroid cancer
2020,28,Thyroid cancer
2021,31,Thyroid cancer
2022,41,Thyroid cancer
2023,33,Thyroid cancer
2024,30,Thyroid cancer
2025,28,Thyroid cancer
1984,2,Uterine cancer
1985,1,Uterine cancer
1986,3,Uterine cancer
1987,3,Uterine cancer
1988,4,Uterine cancer
1989,5,Uterine cancer
1990,8,Uterine cancer
1991,16,Uterine cancer
1992,7,Uterine cancer
1993,9,Uterine cancer
1994,15,Uterine cancer
1995,12,Uterine cancer
1996,13,Uterine cancer
1997,14,Uterine cancer
1998,18,Uterine cancer
1999,14,Uterine cancer
2000,16,Uterine cancer
2001,21,Uterine cancer
2002,16,Uterine cancer
2003,25,Uterine cancer
2004,31,Uterine cancer
2005,30,Uterine cancer
2006,28,Uterine cancer
2007,20,Uterine cancer
2008,27,Uterine cancer
2009,33,Uterine cancer
2010,25,Uterine cancer
2011,21,Uterine cancer
2012,43,Uterine cancer
2013,41,Uterine cancer
2014,43,Uterine cancer
2015,41,Uterine cancer
2016,33,Uterine cancer
2017,27,Uterine cancer
2018,36,Uterine cancer
2019,44,Uterine cancer
2020,36,Uterine cancer
2021,41,Uterine cancer
2022,42,Uterine cancer
2023,44,Uterine cancer
2024,47,Uterine cancer
2025,45,Uterine cancer
1995,1,Vaginal cancer
1996,1,Vaginal cancer
1998,1,Vaginal cancer
2007,1,Vaginal cancer
2008,1,Vaginal cancer
2012,1,Vaginal cancer
2013,2,Vaginal cancer
2015,1,Vaginal cancer
2017,1,Vaginal cancer
2018,1,Vaginal cancer
2020,1,Vaginal cancer
2021,2,Vaginal cancer
2022,1,Vaginal cancer
2024,3,Vaginal cancer
2025,1,Vaginal cancer
1984,1,Vulvar cancer
1988,1,Vulvar cancer
1993,2,Vulvar cancer
1994,2,Vulvar cancer
1995,2,Vulvar cancer
1996,3,Vulvar cancer
1997,1,Vulvar cancer
1998,1,Vulvar cancer
2000,1,Vulvar cancer
2001,2,Vulvar cancer
2002,2,Vulvar cancer
2003,1,Vulvar cancer
2005,5,Vulvar cancer
2006,1,Vulvar cancer
2008,2,Vulvar cancer
2009,4,Vulvar cancer
2010,1,Vulvar cancer
2011,4,Vulvar cancer
2012,4,Vulvar cancer
2013,3,Vulvar cancer
2014,2,Vulvar cancer
2015,2,Vulvar cancer
2016,1,Vulvar cancer
2017,1,Vulvar cancer
2018,4,Vulvar cancer
2019,1,Vulvar cancer
2020,5,Vulvar cancer
2021,4,Vulvar cancer
2022,2,Vulvar cancer
2023,1,Vulvar cancer
2024,3,Vulvar cancer
2025,2,Vulvar cancer
