Country,Cancer,ASR,Crude rate
Kuwait,Gallbladder cancer,0.83,0.64
Kyrgyz Republic,Gallbladder cancer,1.1,0.85
Laos,Gallbladder cancer,1.4,0.96
Lebanon,Gallbladder cancer,0.78,0.94
Lesotho,Gallbladder cancer,0.0,0.0
Latvia,Gallbladder cancer,0.57,1.7
Liberia,Gallbladder cancer,0.29,0.19
Libya,Gallbladder cancer,2.2,1.9
Lithuania,Gallbladder cancer,0.71,2.1
Luxembourg,Gallbladder cancer,0.41,0.93
Madagascar,Gallbladder cancer,0.17,0.08
Malawi,Gallbladder cancer,0.04,0.02
Malaysia,Gallbladder cancer,0.79,0.87
Maldives,Gallbladder cancer,0.0,0.0
Mali,Gallbladder cancer,0.18,0.08
Malta,Gallbladder cancer,0.27,0.9
Martinique,Gallbladder cancer,0.68,2.1
Mauritania,Gallbladder cancer,0.44,0.29
Mauritius,Gallbladder cancer,0.95,1.7
Mexico,Gallbladder cancer,0.87,0.98
Mongolia,Gallbladder cancer,0.44,0.38
Moldova,Gallbladder cancer,0.31,0.57
Montenegro,Gallbladder cancer,0.79,1.9
Morocco,Gallbladder cancer,1.2,1.4
Mozambique,Gallbladder cancer,0.06,0.02
Oman,Gallbladder cancer,1.1,0.66
Namibia,Gallbladder cancer,0.49,0.27
Nepal,Gallbladder cancer,4.4,3.8
Netherlands,Gallbladder cancer,0.4,1.1
New Caledonia,Gallbladder cancer,0.52,0.69
Vanuatu,Gallbladder cancer,0.0,0.0
New Zealand,Gallbladder cancer,0.66,1.5
Nicaragua,Gallbladder cancer,1.4,1.3
Niger,Gallbladder cancer,0.23,0.1
Nigeria,Gallbladder cancer,0.27,0.11
Norway,Gallbladder cancer,0.32,0.78
Pakistan,Gallbladder cancer,1.8,1.2
Panama,Gallbladder cancer,0.9,1.1
Papua New Guinea,Gallbladder cancer,1.4,0.75
Paraguay,Gallbladder cancer,0.72,0.71
Peru,Gallbladder cancer,2.6,3.3
Philippines,Gallbladder cancer,0.35,0.31
Poland,Gallbladder cancer,1.2,2.9
Portugal,Gallbladder cancer,0.57,1.7
Guinea-Bissau,Gallbladder cancer,0.0,0.0
Timor-Leste,Gallbladder cancer,0.0,0.0
Puerto Rico,Gallbladder cancer,0.32,0.88
Qatar,Gallbladder cancer,1.1,0.37
Reunion,Gallbladder cancer,1.4,2.6
Romania,Gallbladder cancer,0.49,1.2
Russia,Gallbladder cancer,0.68,1.5
Rwanda,Gallbladder cancer,0.0,0.0
St. Lucia,Gallbladder cancer,0.4,0.54
Sao Tome and Principe,Gallbladder cancer,0.66,0.44
Saudi Arabia,Gallbladder cancer,0.72,0.56
Senegal,Gallbladder cancer,0.28,0.17
Serbia,Gallbladder cancer,1.1,2.3
Sierra Leone,Gallbladder cancer,0.01,0.01
Singapore,Gallbladder cancer,1.3,2.6
Slovakia,Gallbladder cancer,1.2,2.9
Vietnam,Gallbladder cancer,0.23,0.3
Slovenia,Gallbladder cancer,1.2,3.7
Somalia,Gallbladder cancer,0.91,0.42
South Africa,Gallbladder cancer,0.66,0.59
Zimbabwe,Gallbladder cancer,0.65,0.32
Spain,Gallbladder cancer,0.49,1.5
South Sudan,Gallbladder cancer,0.7,0.36
Sudan,Gallbladder cancer,1.0,0.57
Suriname,Gallbladder cancer,0.78,0.84
Eswatini,Gallbladder cancer,0.0,0.0
Sweden,Gallbladder cancer,0.96,2.4
Switzerland,Gallbladder cancer,0.65,1.7
Syria,Gallbladder cancer,0.93,0.68
Tajikistan,Gallbladder cancer,0.36,0.19
Thailand,Gallbladder cancer,1.4,2.6
Togo,Gallbladder cancer,0.5,0.31
Trinidad and Tobago,Gallbladder cancer,0.76,1.3
United Arab Emirates,Gallbladder cancer,0.39,0.19
Tunisia,Gallbladder cancer,1.1,1.4
Türkiye,Gallbladder cancer,0.7,0.93
Turkmenistan,Gallbladder cancer,0.53,0.44
Uganda,Gallbladder cancer,0.13,0.06
Ukraine,Gallbladder cancer,0.61,1.3
North Macedonia,Gallbladder cancer,0.86,1.7
Egypt,Gallbladder cancer,0.9,0.74
United Kingdom,Gallbladder cancer,0.73,2.0
Tanzania,Gallbladder cancer,0.47,0.21
United States,Gallbladder cancer,0.67,1.4
Burkina Faso,Gallbladder cancer,0.44,0.19
Uruguay,Gallbladder cancer,1.9,3.6
Uzbekistan,Gallbladder cancer,0.28,0.25
Venezuela,Gallbladder cancer,0.57,0.68
Samoa,Gallbladder cancer,0.0,0.0
Yemen,Gallbladder cancer,0.11,0.06
Zambia,Gallbladder cancer,0.22,0.09
"Micronesia, Fed. Sts.",Gallbladder cancer,0.0,0.0
Afghanistan,Hodgkin lymphoma,0.73,0.63
Albania,Hodgkin lymphoma,1.9,2.3
Algeria,Hodgkin lymphoma,2.2,2.2
Angola,Hodgkin lymphoma,0.58,0.41
Azerbaijan,Hodgkin lymphoma,2.0,2.1
Argentina,Hodgkin lymphoma,1.7,1.9
Australia,Hodgkin lymphoma,2.4,2.7
Austria,Hodgkin lymphoma,1.6,1.8
Bahamas,Hodgkin lymphoma,1.9,2.0
Bahrain,Hodgkin lymphoma,0.75,0.78
Bangladesh,Hodgkin lymphoma,0.31,0.31
Armenia,Hodgkin lymphoma,1.7,1.7
Barbados,Hodgkin lymphoma,0.0,0.0
Belgium,Hodgkin lymphoma,3.0,3.3
Bhutan,Hodgkin lymphoma,0.0,0.0
Bolivia,Hodgkin lymphoma,1.2,1.2
Bosnia and Herzegovina,Hodgkin lymphoma,2.7,3.2
Botswana,Hodgkin lymphoma,1.2,1.2
Brazil,Hodgkin lymphoma,1.1,1.2
Belize,Hodgkin lymphoma,0.59,0.73
Solomon Islands,Hodgkin lymphoma,0.71,0.83
Brunei Darussalam,Hodgkin lymphoma,1.1,1.1
Bulgaria,Hodgkin lymphoma,1.4,1.4
Myanmar,Hodgkin lymphoma,0.2,0.21
Burundi,Hodgkin lymphoma,0.92,0.63
Belarus,Hodgkin lymphoma,2.5,2.5
Cambodia,Hodgkin lymphoma,0.45,0.43
Cameroon,Hodgkin lymphoma,0.54,0.4
Canada,Hodgkin lymphoma,2.6,2.9
Cabo Verde,Hodgkin lymphoma,0.15,0.18
Central African Republic,Hodgkin lymphoma,0.39,0.34
Sri Lanka,Hodgkin lymphoma,0.92,1.0
Chad,Hodgkin lymphoma,0.17,0.17
Chile,Hodgkin lymphoma,1.3,1.5
China,Hodgkin lymphoma,0.23,0.31
Colombia,Hodgkin lymphoma,1.2,1.4
Comoros,Hodgkin lymphoma,0.08,0.11
Congo Republic,Hodgkin lymphoma,0.07,0.07
DR Congo,Hodgkin lymphoma,0.45,0.32
Costa Rica,Hodgkin lymphoma,1.7,2.1
Croatia,Hodgkin lymphoma,2.2,2.2
Cuba,Hodgkin lymphoma,2.1,2.6
Cyprus,Hodgkin lymphoma,2.6,3.0
Czechia,Hodgkin lymphoma,2.2,2.7
Benin,Hodgkin lymphoma,0.39,0.3
Denmark,Hodgkin lymphoma,2.6,3.0
Dominican Republic,Hodgkin lymphoma,2.0,2.1
Ecuador,Hodgkin lymphoma,1.2,1.2
El Salvador,Hodgkin lymphoma,0.88,1.0
Ethiopia,Hodgkin lymphoma,0.65,0.64
Eritrea,Hodgkin lymphoma,0.65,0.6
Estonia,Hodgkin lymphoma,2.4,2.7
Fiji,Hodgkin lymphoma,1.6,1.7
Finland,Hodgkin lymphoma,2.7,3.1
France,Hodgkin lymphoma,2.8,3.0
French Guiana,Hodgkin lymphoma,0.36,0.32
French Polynesia,Hodgkin lymphoma,0.0,0.0
Djibouti,Hodgkin lymphoma,0.29,0.3
Gabon,Hodgkin lymphoma,0.31,0.3
Georgia,Hodgkin lymphoma,2.3,2.7
Gambia,Hodgkin lymphoma,0.16,0.2
Palestine,Hodgkin lymphoma,2.0,2.0
Germany,Hodgkin lymphoma,2.1,2.9
Ghana,Hodgkin lymphoma,0.61,0.54
Greece,Hodgkin lymphoma,1.8,2.1
Guadeloupe,Hodgkin lymphoma,0.58,0.5
Guam,Hodgkin lymphoma,0.0,0.0
Guatemala,Hodgkin lymphoma,0.88,0.8
Guinea,Hodgkin lymphoma,0.58,0.52
Guyana,Hodgkin lymphoma,0.0,0.0
Haiti,Hodgkin lymphoma,0.82,0.73
Honduras,Hodgkin lymphoma,1.9,1.9
Hungary,Hodgkin lymphoma,2.5,2.5
Iceland,Hodgkin lymphoma,2.6,2.9
India,Hodgkin lymphoma,0.67,0.68
Indonesia,Hodgkin lymphoma,0.44,0.46
Iran,Hodgkin lymphoma,1.9,2.0
Iraq,Hodgkin lymphoma,2.5,2.1
Ireland,Hodgkin lymphoma,3.2,3.7
Israel,Hodgkin lymphoma,2.8,2.9
Italy,Hodgkin lymphoma,3.5,3.6
Cote d'Ivoire,Hodgkin lymphoma,0.56,0.45
Jamaica,Hodgkin lymphoma,0.55,0.64
Japan,Hodgkin lymphoma,0.92,1.5
Kazakhstan,Hodgkin lymphoma,0.85,0.87
Jordan,Hodgkin lymphoma,2.1,2.2
Kenya,Hodgkin lymphoma,0.85,0.75
North Korea,Hodgkin lymphoma,0.44,0.5
South Korea,Hodgkin lymphoma,0.54,0.66
Kuwait,Hodgkin lymphoma,1.9,1.9
Kyrgyz Republic,Hodgkin lymphoma,0.8,0.77
Laos,Hodgkin lymphoma,0.29,0.31
Lebanon,Hodgkin lymphoma,3.0,3.2
Lesotho,Hodgkin lymphoma,0.35,0.37
Latvia,Hodgkin lymphoma,2.6,2.7
Liberia,Hodgkin lymphoma,0.49,0.47
Libya,Hodgkin lymphoma,1.9,2.0
Lithuania,Hodgkin lymphoma,1.8,1.5
Luxembourg,Hodgkin lymphoma,2.3,2.3
Madagascar,Hodgkin lymphoma,0.69,0.56
Malawi,Hodgkin lymphoma,0.61,0.59
Malaysia,Hodgkin lymphoma,0.71,0.78
Maldives,Hodgkin lymphoma,0.11,0.18
Mali,Hodgkin lymphoma,0.66,0.54
Malta,Hodgkin lymphoma,3.3,4.3
Martinique,Hodgkin lymphoma,0.0,0.0
Mauritania,Hodgkin lymphoma,0.52,0.47
Mauritius,Hodgkin lymphoma,0.76,0.86
Mexico,Hodgkin lymphoma,1.6,1.8
Mongolia,Hodgkin lymphoma,0.5,0.47
Moldova,Hodgkin lymphoma,1.5,1.7
Montenegro,Hodgkin lymphoma,2.5,3.2
Morocco,Hodgkin lymphoma,2.0,2.1
Mozambique,Hodgkin lymphoma,0.61,0.54
Oman,Hodgkin lymphoma,2.4,2.4
Namibia,Hodgkin lymphoma,0.52,0.53
Nepal,Hodgkin lymphoma,0.31,0.31
Netherlands,Hodgkin lymphoma,2.6,2.9
New Caledonia,Hodgkin lymphoma,0.3,0.34
Vanuatu,Hodgkin lymphoma,0.0,0.0
New Zealand,Hodgkin lymphoma,1.7,2.1
Nicaragua,Hodgkin lymphoma,1.3,1.3
Niger,Hodgkin lymphoma,0.12,0.11
Nigeria,Hodgkin lymphoma,1.7,0.92
Norway,Hodgkin lymphoma,2.4,2.9
Pakistan,Hodgkin lymphoma,0.86,0.81
Panama,Hodgkin lymphoma,1.5,1.6
Papua New Guinea,Hodgkin lymphoma,0.45,0.48
Paraguay,Hodgkin lymphoma,2.1,2.2
Peru,Hodgkin lymphoma,1.2,1.3
Philippines,Hodgkin lymphoma,0.54,0.54
Poland,Hodgkin lymphoma,2.1,2.2
Portugal,Hodgkin lymphoma,3.2,3.3
Guinea-Bissau,Hodgkin lymphoma,0.15,0.19
Timor-Leste,Hodgkin lymphoma,0.13,0.15
Puerto Rico,Hodgkin lymphoma,2.3,2.7
Qatar,Hodgkin lymphoma,1.4,1.6
Reunion,Hodgkin lymphoma,1.3,1.3
Romania,Hodgkin lymphoma,1.6,1.7
Russia,Hodgkin lymphoma,2.0,2.1
Rwanda,Hodgkin lymphoma,0.65,0.61
St. Lucia,Hodgkin lymphoma,2.3,2.7
Sao Tome and Principe,Hodgkin lymphoma,0.0,0.0
Saudi Arabia,Hodgkin lymphoma,2.0,2.0
Senegal,Hodgkin lymphoma,0.55,0.48
Serbia,Hodgkin lymphoma,1.8,2.1
Sierra Leone,Hodgkin lymphoma,0.0,0.0
Singapore,Hodgkin lymphoma,1.3,1.3
Slovakia,Hodgkin lymphoma,3.1,3.2
Vietnam,Hodgkin lymphoma,0.57,0.62
Slovenia,Hodgkin lymphoma,2.5,2.6
Somalia,Hodgkin lymphoma,0.74,0.64
South Africa,Hodgkin lymphoma,1.1,1.1
Zimbabwe,Hodgkin lymphoma,0.77,0.64
Spain,Hodgkin lymphoma,2.3,2.5
South Sudan,Hodgkin lymphoma,0.55,0.47
Sudan,Hodgkin lymphoma,0.86,0.7
Suriname,Hodgkin lymphoma,0.34,0.34
Eswatini,Hodgkin lymphoma,0.6,0.59
Sweden,Hodgkin lymphoma,1.8,2.0
Switzerland,Hodgkin lymphoma,2.9,3.2
Syria,Hodgkin lymphoma,1.9,1.6
Tajikistan,Hodgkin lymphoma,0.32,0.28
Thailand,Hodgkin lymphoma,0.4,0.45
Togo,Hodgkin lymphoma,1.0,0.71
Trinidad and Tobago,Hodgkin lymphoma,1.0,1.1
United Arab Emirates,Hodgkin lymphoma,1.4,0.94
Tunisia,Hodgkin lymphoma,2.0,2.1
Türkiye,Hodgkin lymphoma,1.9,2.1
Turkmenistan,Hodgkin lymphoma,0.75,0.74
Uganda,Hodgkin lymphoma,1.2,0.81
Ukraine,Hodgkin lymphoma,2.0,2.2
North Macedonia,Hodgkin lymphoma,2.1,2.6
Egypt,Hodgkin lymphoma,1.6,1.6
United Kingdom,Hodgkin lymphoma,2.8,3.3
Tanzania,Hodgkin lymphoma,1.0,0.61
United States,Hodgkin lymphoma,2.2,2.6
Burkina Faso,Hodgkin lymphoma,0.18,0.15
Uruguay,Hodgkin lymphoma,2.0,2.2
Uzbekistan,Hodgkin lymphoma,1.4,1.4
Venezuela,Hodgkin lymphoma,2.2,2.4
Samoa,Hodgkin lymphoma,0.0,0.0
Yemen,Hodgkin lymphoma,1.7,1.3
Zambia,Hodgkin lymphoma,0.89,0.55
"Micronesia, Fed. Sts.",Hodgkin lymphoma,0.0,0.0
Afghanistan,Kaposi sarcoma,0.1,0.06
Albania,Kaposi sarcoma,0.07,0.14
Algeria,Kaposi sarcoma,0.13,0.14
Angola,Kaposi sarcoma,2.8,1.9
Azerbaijan,Kaposi sarcoma,0.44,0.54
Argentina,Kaposi sarcoma,0.45,0.53
Australia,Kaposi sarcoma,0.1,0.19
Austria,Kaposi sarcoma,0.05,0.09
Bahamas,Kaposi sarcoma,1.0,1.3
Bahrain,Kaposi sarcoma,0.0,0.0
Bangladesh,Kaposi sarcoma,0.0,0.0
Armenia,Kaposi sarcoma,0.0,0.0
Barbados,Kaposi sarcoma,2.0,2.1
Belgium,Kaposi sarcoma,0.25,0.44
Bhutan,Kaposi sarcoma,0.0,0.0
Bolivia,Kaposi sarcoma,0.0,0.0
Bosnia and Herzegovina,Kaposi sarcoma,0.0,0.0
Botswana,Kaposi sarcoma,9.3,9.5
Brazil,Kaposi sarcoma,0.26,0.32
Belize,Kaposi sarcoma,0.0,0.0
Solomon Islands,Kaposi sarcoma,0.0,0.0
Brunei Darussalam,Kaposi sarcoma,0.0,0.0
Bulgaria,Kaposi sarcoma,0.05,0.16
Myanmar,Kaposi sarcoma,0.02,0.03
Burundi,Kaposi sarcoma,4.9,3.5
Belarus,Kaposi sarcoma,0.15,0.29
Cambodia,Kaposi sarcoma,0.01,0.01
Cameroon,Kaposi sarcoma,6.2,4.1
Canada,Kaposi sarcoma,0.16,0.3
Cabo Verde,Kaposi sarcoma,0.88,0.88
Central African Republic,Kaposi sarcoma,2.3,1.3
Sri Lanka,Kaposi sarcoma,0.0,0.0
Chad,Kaposi sarcoma,0.33,0.19
Chile,Kaposi sarcoma,0.15,0.2
China,Kaposi sarcoma,0.03,0.04
Colombia,Kaposi sarcoma,0.69,0.88
Comoros,Kaposi sarcoma,0.0,0.0
Congo Republic,Kaposi sarcoma,0.35,0.26
DR Congo,Kaposi sarcoma,0.22,0.16
Costa Rica,Kaposi sarcoma,0.24,0.35
Croatia,Kaposi sarcoma,0.08,0.25
Cuba,Kaposi sarcoma,0.11,0.21
Cyprus,Kaposi sarcoma,0.23,0.41
Czechia,Kaposi sarcoma,0.06,0.15
Benin,Kaposi sarcoma,0.26,0.2
Denmark,Kaposi sarcoma,0.05,0.07
Dominican Republic,Kaposi sarcoma,0.29,0.3
Ecuador,Kaposi sarcoma,0.34,0.38
El Salvador,Kaposi sarcoma,0.04,0.05
Ethiopia,Kaposi sarcoma,0.18,0.13
Eritrea,Kaposi sarcoma,0.07,0.05
Estonia,Kaposi sarcoma,0.0,0.0
Fiji,Kaposi sarcoma,0.0,0.0
Finland,Kaposi sarcoma,0.09,0.27
France,Kaposi sarcoma,0.19,0.34
French Guiana,Kaposi sarcoma,0.0,0.0
French Polynesia,Kaposi sarcoma,0.0,0.0
Djibouti,Kaposi sarcoma,0.0,0.0
Gabon,Kaposi sarcoma,2.9,2.4
Georgia,Kaposi sarcoma,0.06,0.08
Gambia,Kaposi sarcoma,0.29,0.23
Palestine,Kaposi sarcoma,0.26,0.13
Germany,Kaposi sarcoma,0.09,0.16
Ghana,Kaposi sarcoma,0.48,0.41
Greece,Kaposi sarcoma,0.1,0.43
Guadeloupe,Kaposi sarcoma,0.0,0.0
Guam,Kaposi sarcoma,0.0,0.0
Guatemala,Kaposi sarcoma,0.0,0.0
Guinea,Kaposi sarcoma,0.43,0.27
Guyana,Kaposi sarcoma,0.0,0.0
Haiti,Kaposi sarcoma,0.53,0.46
Honduras,Kaposi sarcoma,0.05,0.04
Hungary,Kaposi sarcoma,0.02,0.07
Iceland,Kaposi sarcoma,0.0,0.0
India,Kaposi sarcoma,0.0,0.0
Indonesia,Kaposi sarcoma,0.04,0.04
Iran,Kaposi sarcoma,0.19,0.2
Iraq,Kaposi sarcoma,0.22,0.12
Ireland,Kaposi sarcoma,0.1,0.12
Israel,Kaposi sarcoma,0.58,1.0
Italy,Kaposi sarcoma,0.53,1.5
Cote d'Ivoire,Kaposi sarcoma,1.1,0.77
Jamaica,Kaposi sarcoma,0.0,0.0
Japan,Kaposi sarcoma,0.03,0.04
Kazakhstan,Kaposi sarcoma,0.11,0.13
Jordan,Kaposi sarcoma,0.17,0.13
Kenya,Kaposi sarcoma,1.5,1.2
North Korea,Kaposi sarcoma,0.02,0.02
South Korea,Kaposi sarcoma,0.05,0.14
Kuwait,Kaposi sarcoma,0.13,0.11
Kyrgyz Republic,Kaposi sarcoma,0.16,0.15
Laos,Kaposi sarcoma,0.02,0.03
Lebanon,Kaposi sarcoma,0.13,0.16
Lesotho,Kaposi sarcoma,6.5,6.5
Latvia,Kaposi sarcoma,0.0,0.0
Liberia,Kaposi sarcoma,0.73,0.53
Libya,Kaposi sarcoma,0.28,0.21
Lithuania,Kaposi sarcoma,0.09,0.3
Luxembourg,Kaposi sarcoma,0.0,0.0
Madagascar,Kaposi sarcoma,0.03,0.02
Malawi,Kaposi sarcoma,12.0,9.9
Malaysia,Kaposi sarcoma,0.07,0.08
Maldives,Kaposi sarcoma,0.0,0.0
Mali,Kaposi sarcoma,0.85,0.53
Malta,Kaposi sarcoma,0.37,1.1
Martinique,Kaposi sarcoma,0.0,0.0
Mauritania,Kaposi sarcoma,0.55,0.43
Mauritius,Kaposi sarcoma,0.0,0.0
Mexico,Kaposi sarcoma,0.34,0.38
Mongolia,Kaposi sarcoma,0.0,0.0
Moldova,Kaposi sarcoma,0.06,0.1
Montenegro,Kaposi sarcoma,0.0,0.0
Morocco,Kaposi sarcoma,0.25,0.28
Mozambique,Kaposi sarcoma,14.4,12.1
Oman,Kaposi sarcoma,0.24,0.23
Namibia,Kaposi sarcoma,13.6,12.3
Nepal,Kaposi sarcoma,0.0,0.0
Netherlands,Kaposi sarcoma,0.13,0.21
New Caledonia,Kaposi sarcoma,0.0,0.0
Vanuatu,Kaposi sarcoma,0.0,0.0
New Zealand,Kaposi sarcoma,0.08,0.1
Nicaragua,Kaposi sarcoma,0.23,0.24
Niger,Kaposi sarcoma,0.13,0.1
Nigeria,Kaposi sarcoma,1.0,0.71
Norway,Kaposi sarcoma,0.06,0.15
Pakistan,Kaposi sarcoma,0.04,0.03
Panama,Kaposi sarcoma,0.73,0.85
Papua New Guinea,Kaposi sarcoma,0.09,0.09
Paraguay,Kaposi sarcoma,0.72,0.82
Peru,Kaposi sarcoma,0.79,0.98
Philippines,Kaposi sarcoma,0.01,0.01
Poland,Kaposi sarcoma,0.07,0.1
Portugal,Kaposi sarcoma,0.68,1.0
Guinea-Bissau,Kaposi sarcoma,0.32,0.29
Timor-Leste,Kaposi sarcoma,0.0,0.0
Puerto Rico,Kaposi sarcoma,0.24,0.42
Qatar,Kaposi sarcoma,0.19,0.23
Reunion,Kaposi sarcoma,0.0,0.0
Romania,Kaposi sarcoma,0.16,0.3
Russia,Kaposi sarcoma,0.18,0.32
Rwanda,Kaposi sarcoma,1.2,0.98
St. Lucia,Kaposi sarcoma,0.0,0.0
Sao Tome and Principe,Kaposi sarcoma,0.0,0.0
Saudi Arabia,Kaposi sarcoma,0.26,0.22
Senegal,Kaposi sarcoma,0.6,0.42
Serbia,Kaposi sarcoma,0.13,0.18
Sierra Leone,Kaposi sarcoma,0.0,0.0
Singapore,Kaposi sarcoma,0.06,0.08
Slovakia,Kaposi sarcoma,0.04,0.09
Vietnam,Kaposi sarcoma,0.14,0.17
Slovenia,Kaposi sarcoma,0.02,0.05
Somalia,Kaposi sarcoma,0.74,0.48
South Africa,Kaposi sarcoma,6.0,6.8
Zimbabwe,Kaposi sarcoma,9.5,7.2
Spain,Kaposi sarcoma,0.38,0.63
South Sudan,Kaposi sarcoma,2.0,1.4
Sudan,Kaposi sarcoma,0.28,0.16
Suriname,Kaposi sarcoma,0.27,0.34
Eswatini,Kaposi sarcoma,8.8,8.1
Sweden,Kaposi sarcoma,0.08,0.19
Switzerland,Kaposi sarcoma,0.19,0.33
Syria,Kaposi sarcoma,0.15,0.12
Tajikistan,Kaposi sarcoma,0.04,0.03
Thailand,Kaposi sarcoma,0.08,0.1
Togo,Kaposi sarcoma,1.4,1.1
Trinidad and Tobago,Kaposi sarcoma,0.35,0.43
United Arab Emirates,Kaposi sarcoma,0.11,0.05
Tunisia,Kaposi sarcoma,0.41,0.52
Türkiye,Kaposi sarcoma,0.5,0.68
Turkmenistan,Kaposi sarcoma,0.05,0.05
Uganda,Kaposi sarcoma,11.1,8.4
Ukraine,Kaposi sarcoma,0.05,0.08
North Macedonia,Kaposi sarcoma,0.0,0.0
Egypt,Kaposi sarcoma,0.1,0.08
United Kingdom,Kaposi sarcoma,0.16,0.21
Tanzania,Kaposi sarcoma,3.4,2.2
United States,Kaposi sarcoma,0.24,0.33
Burkina Faso,Kaposi sarcoma,0.64,0.43
Uruguay,Kaposi sarcoma,0.28,0.34
Uzbekistan,Kaposi sarcoma,0.16,0.15
Venezuela,Kaposi sarcoma,0.62,0.67
Samoa,Kaposi sarcoma,0.0,0.0
Yemen,Kaposi sarcoma,0.06,0.04
Zambia,Kaposi sarcoma,15.7,12.5
"Micronesia, Fed. Sts.",Kaposi sarcoma,0.0,0.0
Afghanistan,Kidney cancer,2.4,1.4
Albania,Kidney cancer,3.5,6.2
Algeria,Kidney cancer,1.6,1.6
Angola,Kidney cancer,1.9,1.6
Azerbaijan,Kidney cancer,2.8,3.2
Argentina,Kidney cancer,8.1,10.7
Australia,Kidney cancer,9.5,16.1
Austria,Kidney cancer,7.8,15.7
Bahamas,Kidney cancer,1.3,1.5
Bahrain,Kidney cancer,2.3,1.8
Bangladesh,Kidney cancer,0.95,0.86
Armenia,Kidney cancer,4.4,7.0
Barbados,Kidney cancer,5.1,8.0
Belgium,Kidney cancer,8.2,16.5
Bhutan,Kidney cancer,0.32,0.25
Bolivia,Kidney cancer,3.0,3.3
Bosnia and Herzegovina,Kidney cancer,5.3,10.4
Botswana,Kidney cancer,0.95,0.78
Brazil,Kidney cancer,3.9,5.2
Belize,Kidney cancer,1.6,1.2
Solomon Islands,Kidney cancer,0.45,0.42
Brunei Darussalam,Kidney cancer,4.0,4.5
Bulgaria,Kidney cancer,6.0,11.5
Myanmar,Kidney cancer,1.0,1.0
Burundi,Kidney cancer,1.2,1.0
Belarus,Kidney cancer,14.1,24.1
Cambodia,Kidney cancer,1.3,1.2
Cameroon,Kidney cancer,0.84,0.63
Canada,Kidney cancer,10.9,20.8
Cabo Verde,Kidney cancer,1.2,1.1
Central African Republic,Kidney cancer,1.1,0.78
Sri Lanka,Kidney cancer,1.2,1.7
Chad,Kidney cancer,1.6,1.1
Chile,Kidney cancer,7.6,11.6
China,Kidney cancer,3.1,5.2
Colombia,Kidney cancer,3.8,4.6
Comoros,Kidney cancer,0.46,0.55
Congo Republic,Kidney cancer,0.67,0.67
DR Congo,Kidney cancer,1.1,0.89
Costa Rica,Kidney cancer,2.8,3.7
Croatia,Kidney cancer,10.3,21.5
Cuba,Kidney cancer,3.4,6.1
Cyprus,Kidney cancer,4.7,8.3
Czechia,Kidney cancer,13.3,28.8
Benin,Kidney cancer,1.2,0.67
Denmark,Kidney cancer,11.0,21.6
Dominican Republic,Kidney cancer,1.4,1.4
Ecuador,Kidney cancer,3.1,3.2
El Salvador,Kidney cancer,2.1,2.3
Ethiopia,Kidney cancer,2.2,1.5
Eritrea,Kidney cancer,2.1,1.5
Estonia,Kidney cancer,10.5,22.9
Fiji,Kidney cancer,0.57,0.55
Finland,Kidney cancer,8.9,20.1
France,Kidney cancer,11.4,22.2
French Guiana,Kidney cancer,2.5,2.2
French Polynesia,Kidney cancer,3.4,4.6
Djibouti,Kidney cancer,1.9,1.6
Gabon,Kidney cancer,1.5,1.2
Georgia,Kidney cancer,4.6,7.3
Gambia,Kidney cancer,0.24,0.27
Palestine,Kidney cancer,3.3,2.2
Germany,Kidney cancer,9.0,24.5
Ghana,Kidney cancer,1.3,0.99
Greece,Kidney cancer,8.2,18.2
Guadeloupe,Kidney cancer,2.3,5.0
Guam,Kidney cancer,2.0,3.5
Guatemala,Kidney cancer,2.0,1.5
Guinea,Kidney cancer,0.62,0.48
Guyana,Kidney cancer,1.9,2.0
Haiti,Kidney cancer,2.2,1.9
Honduras,Kidney cancer,2.2,1.8
Hungary,Kidney cancer,11.1,20.9
Iceland,Kidney cancer,10.3,19.1
India,Kidney cancer,1.3,1.2
Indonesia,Kidney cancer,0.9,0.96
Iran,Kidney cancer,2.3,2.4
Iraq,Kidney cancer,3.1,2.0
Ireland,Kidney cancer,10.4,17.6
Israel,Kidney cancer,7.9,10.0
Italy,Kidney cancer,9.7,22.7
Cote d'Ivoire,Kidney cancer,1.3,0.97
Jamaica,Kidney cancer,1.3,1.4
Japan,Kidney cancer,6.9,16.9
Kazakhstan,Kidney cancer,4.6,5.3
Jordan,Kidney cancer,3.2,2.5
Kenya,Kidney cancer,1.3,0.92
North Korea,Kidney cancer,3.2,4.5
South Korea,Kidney cancer,5.0,9.3
Kuwait,Kidney cancer,2.5,2.1
Kyrgyz Republic,Kidney cancer,2.5,2.1
Laos,Kidney cancer,1.3,0.99
Lebanon,Kidney cancer,3.7,4.2
Lesotho,Kidney cancer,0.36,0.28
Latvia,Kidney cancer,13.7,28.7
Liberia,Kidney cancer,0.9,0.74
Libya,Kidney cancer,3.4,2.8
Lithuania,Kidney cancer,11.6,24.1
Luxembourg,Kidney cancer,5.9,11.5
Madagascar,Kidney cancer,0.97,0.89
Malawi,Kidney cancer,0.91,0.95
Malaysia,Kidney cancer,3.1,3.4
Maldives,Kidney cancer,0.24,0.18
Mali,Kidney cancer,1.8,1.5
Malta,Kidney cancer,10.0,20.7
Martinique,Kidney cancer,3.8,8.3
Mauritania,Kidney cancer,1.2,0.96
Mauritius,Kidney cancer,1.7,2.8
